ID,Flight,POU,SCC,WV,X,Y,Z,W,SQV
1,ABD,ICN,NDS,224,1,1,268,108,268
2,ABD,ICN,NDS,218,3,29,3,117,261
3,ABD,ICN,NDS,202,11,2,11,114,242
4,ABD,JPN,NDS,205,1,3,82,112,246
5,ABD,ICN,NDS,208,3,1,83,120,249
6,ABD,ICN,NDS,215,1,1,258,103,258
7,ABD,JPN,NDS,204,2,2,61,104,244
8,ABD,JPN,NDS,217,65,1,4,119,260
9,ABD,JPN,NDS,219,1,1,262,103,262
10,ABD,ICN,NDS,206,1,1,247,119,247
11,ABD,JPN,NDS,206,1,19,13,117,247
12,ABD,ICN,NDS,227,17,2,8,111,272
13,ABD,ICN,NDS,206,1,1,247,105,247
14,ABD,JPN,NDS,228,3,13,7,111,273
15,ABD,JPN,NDS,223,3,1,89,102,267
16,ABD,JPN,NDS,211,1,253,1,111,253
17,ABD,ICN,NDS,230,6,23,2,101,276
18,ABD,JPN,NDS,229,1,1,274,102,274
19,ABD,JPN,NDS,226,1,1,271,116,271
20,ABD,JPN,NDS,209,10,5,5,104,250
21,ABD,JPN,NDS,205,2,3,41,118,246
22,ABD,JPN,NDS,201,1,1,241,109,241
23,ABD,ICN,NDS,216,1,7,37,107,259
24,ABD,JPN,NDS,209,5,25,2,102,250
25,ABD,ICN,NDS,201,1,1,241,102,241
26,ABD,JPN,NDS,206,1,13,19,107,247
27,ABD,ICN,NDS,208,1,1,249,102,249
28,ABD,JPN,NDS,230,46,3,2,117,276
29,ABD,ICN,NDS,229,1,1,274,118,274
30,ABD,JPN,NDS,211,1,23,11,109,253
31,ABD,JPN,NDS,215,3,2,43,111,258
32,ABD,JPN,NDS,207,1,2,124,117,248
33,ABD,ICN,NDS,215,1,43,6,120,258
34,ABD,JPN,NDS,202,11,2,11,109,242
35,ABD,ICN,NDS,207,62,2,2,110,248
36,ABD,ICN,NDS,214,1,2,128,118,256
37,ABD,ICN,NDS,227,68,2,2,113,272
38,ABD,ICN,NDS,230,1,12,23,110,276
39,ABD,JPN,NDS,218,1,3,87,114,261
40,ABD,ICN,NDS,222,2,19,7,113,266
41,ABD,ICN,NDS,219,131,2,1,100,262
42,ABD,JPN,NDS,205,1,1,246,108,246
43,ABD,JPN,NDS,212,1,1,254,118,254
44,ABD,JPN,NDS,208,1,1,249,106,249
45,ABD,ICN,NDS,221,5,1,53,113,265
46,ABD,JPN,NDS,212,1,1,254,104,254
47,ABD,JPN,NDS,217,1,10,26,114,260
48,ABD,JPN,NDS,213,3,1,85,112,255
49,ABD,ICN,NDS,218,29,3,3,116,261
50,ABD,JPN,NDS,211,1,23,11,103,253
51,ABD,ICN,NDS,208,83,1,3,100,249
52,ABD,ICN,NDS,206,1,1,247,115,247
53,ABD,JPN,NDS,230,1,1,276,117,276
54,ABD,ICN,NDS,222,1,1,266,102,266
55,ABD,ICN,NDS,208,1,3,83,111,249
56,ABD,ICN,NDS,221,1,53,5,118,265
57,ABD,JPN,NDS,226,1,1,271,105,271
58,ABD,ICN,NDS,215,2,43,3,108,258
59,ABD,ICN,NDS,212,1,127,2,101,254
60,ABD,JPN,NDS,205,41,3,2,105,246
61,ABD,JPN,NDS,219,2,131,1,111,262
62,ABD,JPN,NDS,210,1,1,252,113,252
63,ABD,ICN,NDS,223,1,3,89,106,267
64,ABD,JPN,NDS,224,1,4,67,106,268
65,ABD,ICN,NDS,213,1,3,85,118,255
66,ABD,ICN,NDS,209,25,1,10,109,250
67,ABD,JPN,NDS,223,1,1,267,107,267
68,ABD,ICN,NDS,221,1,1,265,114,265
69,ABD,JPN,NDS,215,1,86,3,112,258
70,ABD,JPN,NDS,219,1,1,262,100,262
71,ABD,ICN,NDS,218,1,1,261,114,261
72,ABD,JPN,NDS,229,1,2,137,100,274
73,ABD,JPN,NDS,221,1,1,265,113,265
74,ABD,JPN,NDS,218,1,1,261,100,261
75,ABD,JPN,NDS,214,1,1,256,111,256
76,ABD,JPN,NDS,227,34,4,2,104,272
77,ABD,ICN,NDS,214,8,8,4,105,256
78,ABD,JPN,NDS,221,1,5,53,120,265
79,ABD,JPN,NDS,225,1,3,90,105,270
80,ABD,ICN,NDS,220,1,4,66,106,264
81,ABD,JPN,NDS,222,1,38,7,105,266
82,ABD,JPN,NDS,207,4,31,2,118,248
83,ABD,JPN,NDS,213,17,1,15,100,255
84,ABD,JPN,NDS,225,1,5,54,107,270
85,ABD,ICN,NDS,221,1,1,265,113,265
86,ABD,JPN,NDS,216,1,7,37,112,259
87,ABD,JPN,NDS,229,1,137,2,119,274
88,ABD,ICN,NDS,208,1,1,249,104,249
89,ABD,JPN,NDS,214,32,4,2,102,256
90,ABD,JPN,NDS,218,1,9,29,101,261
91,ABD,JPN,NDS,202,1,2,121,120,242
92,ABD,ICN,NDS,209,1,10,25,110,250
93,ABD,ICN,NDS,207,1,124,2,113,248
94,ABD,ICN,NDS,212,1,127,2,112,254
95,ABD,JPN,NDS,230,1,6,46,120,276
96,ABD,JPN,NDS,209,25,1,10,100,250
97,ABD,ICN,NDS,205,1,1,246,116,246
98,ABD,JPN,NDS,206,1,1,247,104,247
99,ABD,ICN,NDS,207,2,2,62,105,248
100,ABD,JPN,NDS,202,2,1,121,117,242
101,ABD,ICN,NDS,204,2,2,61,114,244
102,ABD,ICN,NDS,216,1,7,37,114,259
103,ABD,ICN,NDS,230,46,1,6,111,276
104,ABD,ICN,NDS,216,1,1,259,109,259
105,ABD,ICN,NDS,203,3,27,3,100,243
106,ABD,ICN,NDS,212,1,1,254,117,254
107,ABD,JPN,NDS,230,1,138,2,118,276
108,ABD,JPN,NDS,210,1,1,252,116,252
109,ABD,JPN,NDS,202,11,11,2,113,242
110,ABD,JPN,NDS,204,1,4,61,104,244
111,ABD,ICN,NDS,230,1,46,6,114,276
112,ABD,ICN,NDS,209,10,1,25,102,250
113,ABD,ICN,NDS,216,1,7,37,119,259
114,ABD,JPN,NDS,228,1,91,3,119,273
115,ABD,JPN,NDS,226,1,1,271,103,271
116,ABD,JPN,NDS,227,4,2,34,117,272
117,ABD,JPN,NDS,223,1,267,1,108,267
118,ABD,JPN,NDS,200,12,10,2,101,240
119,ABD,ICN,NDS,221,53,1,5,107,265
120,ABD,ICN,NDS,227,2,1,136,118,272
121,ABD,JPN,NDS,218,3,1,87,117,261
122,ABD,JPN,NDS,223,1,89,3,106,267
123,ABD,JPN,NDS,206,1,19,13,102,247
124,ABD,ICN,NDS,218,3,1,87,114,261
125,ABD,JPN,NDS,202,1,1,242,112,242
126,ABD,JPN,NDS,205,1,123,2,113,246
127,ABD,JPN,NDS,204,2,2,61,106,244
128,ABD,ICN,NDS,224,2,1,134,103,268
129,ABD,ICN,NDS,226,1,1,271,115,271
130,ABD,ICN,NDS,229,1,2,137,103,274
