id,name,POU,width,length,depth,waterVolume,weight,SCCs,state
1,18037503115,SIN,120,80,92,0.864,282.5,CAO+RBI+DGR,saved
2,18037503130,ORD,45,34,34,0.0459,185.2,CAO+RBI+DGR,saved
3,18078814024,ORD,80,60,60,0.24,140,CAO+RBI+DGR,saved
4,18012128911,ORD,41,41,41,0.063878,34.068,RXG+CAO+DGR,saved
5,18037499582,ORD,26,28,36,0.02184,21.877,CAO+RBI+EAP+ECC+DGR,saved
6,18034090976,SIN,100,60,45,0.24,27,RCM+RPB+DGR+VOL,saved
7,18037442145,SIN,86,83,93,0.64242,158,REG+CBE+SPX+GEN,saved
8,18005625126,SIN,117,97,80,0.8424,123,RMD+ECC+EAP+DGR,saved
9,18005625115,PEN,60,60,52,0.18,192,RNG+EAP+ECC+DGR,saved
10,18038656973,PEN,34,27,34,0.02754,2.3,RFL+DGR,saved
11,18033551663,SIN,48,49,24,0.04704,13,RMD+VOL+DGR,saved
12,18034145064,SIN,49,49,55,0.12005,163,ICE+FRO+TEM+SCS,saved
13,18038614015,SIN,56,49,48,0.12348,1575,ICE+TEM+COL+SCS,saved
14,18038615872,SIN,70,38,36,0.0931,3,,saved
15,18034175960,SIN,157,65,75,0.71435,600,,saved
16,18036501264,SIN,142,124,102,1.7608,1943,,saved
17,18038608651,PEN,110,110,130,1.573,800,,saved
18,18036060835,PEN,60,80,30,0.1344,10,MNR,saved
19,18033519684,PEN,110,100,100,0.88,130,CRT,saved
20,18037988543,PEN,45,34,34,0.05202,5,CAO+RBI+DGR,saved
21,18039208610,PEN,120,80,120,1.12812,500,REG,saved
22,18039238695,PEN,109,105,62,0.698145,116,REG,saved
23,18005625631,ORD,51,51,51,0.132651,65,EAP+ECC,saved
24,18011994264,ORD,109,99,191,2.05029,441,EAP+ECC,saved
25,18037493503,ORD,121,101,100,1.1858,400,EAP+ECC,saved
26,18005625535,ORD,154,32,34,0.156519,21,EAP+ECC+MNR,saved
27,18037510045,ORD,120,80,80,0.73944,54.5,EAP+ECC+MNR,saved
28,18011979936,PEN,104,122,56,0.685152,355.5,EAP+ECC+PSC,saved
29,18034133013,PEN,40,39,39,0.05624,100,EAW+REG+ECC,saved
30,18038570453,SIN,230,150,228,7.69304,1416,SCS+SEN,saved
