id,name,POU,width,length,depth,waterVolume,weight,SCCs,state
1,18037503115,SIN,120,80,92,0.864,282.5,CAO+RBI+DGR,saved
2,18037503130,ORD,45,34,34,0.0459,185.2,CAO+RBI+DGR,saved
3,18078814024,ORD,80,60,60,0.24,140,CAO+RBI+DGR,saved
4,18012128911,ORD,41,41,41,0.063878,34.068,RXG+CAO+DGR,saved
5,18037499582,ORD,26,28,36,0.02184,21.877,CAO+RBI+EAP+ECC+DGR,saved
6,18034090976,SIN,100,60,45,0.24,27,RCM+RPB+DGR+VOL,saved
7,18037442145,SIN,86,83,93,0.64242,158,REG+CBE+SPX+GEN,saved
8,18005625126,SIN,117,97,80,0.8424,123,RMD+ECC+EAP+DGR,saved
9,18005625115,PEN,60,60,52,0.18,192,RNG+EAP+ECC+DGR,saved
10,18038656973,PEN,34,27,34,0.02754,2.3,RFL+DGR,saved
11,18033551663,SIN,48,49,24,0.04704,13,RMD+VOL+DGR,saved
12,18034145064,SIN,49,49,55,0.12005,163,ICE+FRO+TEM+SCS,saved
13,18038614015,SIN,56,49,48,0.12348,1575,ICE+TEM+COL+SCS,saved
14,18038615872,SIN,70,38,36,0.0931,3,,saved
15,18034175960,SIN,157,65,75,0.71435,600,,saved
16,18036501264,SIN,142,124,102,1.7608,1943,,saved
17,18038608651,PEN,110,110,130,1.573,800,,saved
18,18036060835,PEN,60,80,30,0.1344,10,MNR,saved
19,18033519684,PEN,110,100,100,0.88,130,CRT,saved
20,18037988543,PEN,45,34,34,0.05202,5,CAO+RBI+DGR,saved
21,18039208610,PEN,120,80,120,1.12812,500,REG,saved
22,18039238695,PEN,109,105,62,0.698145,116,REG,saved
23,18005625631,ORD,51,51,51,0.132651,65,EAP+ECC,saved
24,18011994264,ORD,109,99,191,2.05029,441,EAP+ECC,saved
25,18037493503,ORD,121,101,100,1.1858,400,EAP+ECC,saved
26,18005625535,ORD,154,32,34,0.156519,21,EAP+ECC+MNR,saved
27,18037510045,ORD,120,80,80,0.73944,54.5,EAP+ECC+MNR,saved
28,18011979936,PEN,104,122,56,0.685152,355.5,EAP+ECC+PSC,saved
29,18034133013,PEN,40,39,39,0.05624,100,EAW+REG+ECC,saved
30,18038570453,SIN,230,150,228,7.69304,1416,SCS+SEN,saved
31,54975497579,SIN,120,80,92,0.864,282.5,CAO+RBI+DGR,saved
32,54975497580,ORD,45,34,34,0.0459,185.2,CAO+RBI+DGR,saved
33,54975497581,ORD,80,60,60,0.24,140,CAO+RBI+DGR,saved
34,54975497582,ORD,41,41,41,0.063878,34.068,RXG+CAO+DGR,saved
35,54975497583,ORD,26,28,36,0.02184,21.877,CAO+RBI+EAP+ECC+DGR,saved
36,54975497584,SIN,100,60,45,0.24,27,RCM+RPB+DGR+VOL,saved
37,54975497585,SIN,86,83,93,0.64242,158,REG+CBE+SPX+GEN,saved
38,54975497586,SIN,117,97,80,0.8424,123,RMD+ECC+EAP+DGR,saved
39,54975497587,PEN,60,60,52,0.18,192,RNG+EAP+ECC+DGR,saved
40,54975497588,PEN,34,27,34,0.02754,2.3,RFL+DGR,saved
41,54975497589,SIN,48,49,24,0.04704,13,RMD+VOL+DGR,saved
42,54975497590,SIN,49,49,55,0.12005,163,ICE+FRO+TEM+SCS,saved
43,54975497591,SIN,56,49,48,0.12348,1575,ICE+TEM+COL+SCS,saved
44,54975497592,SIN,70,38,36,0.0931,3,,saved
45,54975497593,SIN,157,65,75,0.71435,600,,saved
46,54975497594,SIN,142,124,102,1.7608,1943,,saved
47,54975497595,PEN,110,110,130,1.573,800,,saved
48,54975497596,PEN,60,80,30,0.1344,10,MNR,saved
49,54975497597,PEN,110,100,100,0.88,130,CRT,saved
50,54975497598,PEN,45,34,34,0.05202,5,CAO+RBI+DGR,saved
51,54975497599,PEN,120,80,120,1.12812,500,REG,saved
52,54975497600,PEN,109,105,62,0.698145,116,REG,saved
53,54975497601,ORD,51,51,51,0.132651,65,EAP+ECC,saved
54,54975497602,ORD,109,99,191,2.05029,441,EAP+ECC,saved
55,54975497603,ORD,121,101,100,1.1858,400,EAP+ECC,saved
56,54975497604,ORD,154,32,34,0.156519,21,EAP+ECC+MNR,saved
57,54975497605,ORD,120,80,80,0.73944,54.5,EAP+ECC+MNR,saved
58,54975497606,PEN,104,122,56,0.685152,355.5,EAP+ECC+PSC,saved
59,54975497607,PEN,40,39,39,0.05624,100,EAW+REG+ECC,saved
60,54975497608,SIN,230,150,228,7.69304,1416,SCS+SEN,saved
61,54975497609,SIN,120,80,92,0.864,282.5,CAO+RBI+DGR,saved
62,54975497610,ORD,45,34,34,0.0459,185.2,CAO+RBI+DGR,saved
63,54975497611,ORD,80,60,60,0.24,140,CAO+RBI+DGR,saved
64,54975497612,ORD,41,41,41,0.063878,34.068,RXG+CAO+DGR,saved
65,54975497613,ORD,26,28,36,0.02184,21.877,CAO+RBI+EAP+ECC+DGR,saved
66,54975497614,SIN,100,60,45,0.24,27,RCM+RPB+DGR+VOL,saved
67,54975497615,SIN,86,83,93,0.64242,158,REG+CBE+SPX+GEN,saved
68,54975497616,SIN,117,97,80,0.8424,123,RMD+ECC+EAP+DGR,saved
69,54975497617,PEN,60,60,52,0.18,192,RNG+EAP+ECC+DGR,saved
70,54975497618,PEN,34,27,34,0.02754,2.3,RFL+DGR,saved
71,54975497619,SIN,48,49,24,0.04704,13,RMD+VOL+DGR,saved
72,54975497620,SIN,49,49,55,0.12005,163,ICE+FRO+TEM+SCS,saved
73,54975497621,SIN,56,49,48,0.12348,1575,ICE+TEM+COL+SCS,saved
74,54975497622,SIN,70,38,36,0.0931,3,,saved
75,54975497623,SIN,157,65,75,0.71435,600,,saved
76,54975497624,SIN,142,124,102,1.7608,1943,,saved
77,54975497625,PEN,110,110,130,1.573,800,,saved
78,54975497626,PEN,60,80,30,0.1344,10,MNR,saved
79,54975497627,PEN,110,100,100,0.88,130,CRT,saved
80,54975497628,PEN,45,34,34,0.05202,5,CAO+RBI+DGR,saved
81,54975497629,PEN,120,80,120,1.12812,500,REG,saved
82,54975497630,PEN,109,105,62,0.698145,116,REG,saved
83,54975497631,ORD,51,51,51,0.132651,65,EAP+ECC,saved
84,54975497632,ORD,109,99,191,2.05029,441,EAP+ECC,saved
85,54975497633,ORD,121,101,100,1.1858,400,EAP+ECC,saved
86,54975497634,ORD,154,32,34,0.156519,21,EAP+ECC+MNR,saved
87,54975497635,ORD,120,80,80,0.73944,54.5,EAP+ECC+MNR,saved
88,54975497636,PEN,104,122,56,0.685152,355.5,EAP+ECC+PSC,saved
89,54975497637,PEN,40,39,39,0.05624,100,EAW+REG+ECC,saved
90,54975497638,SIN,230,150,228,7.69304,1416,SCS+SEN,saved
91,54975497639,SIN,120,80,92,0.864,282.5,CAO+RBI+DGR,saved
92,54975497640,ORD,45,34,34,0.0459,185.2,CAO+RBI+DGR,saved
93,54975497641,ORD,80,60,60,0.24,140,CAO+RBI+DGR,saved
94,54975497642,ORD,41,41,41,0.063878,34.068,RXG+CAO+DGR,saved
95,54975497643,ORD,26,28,36,0.02184,21.877,CAO+RBI+EAP+ECC+DGR,saved
96,54975497644,SIN,100,60,45,0.24,27,RCM+RPB+DGR+VOL,saved
97,54975497645,SIN,86,83,93,0.64242,158,REG+CBE+SPX+GEN,saved
98,54975497646,SIN,117,97,80,0.8424,123,RMD+ECC+EAP+DGR,saved
99,54975497647,PEN,60,60,52,0.18,192,RNG+EAP+ECC+DGR,saved
100,54975497648,PEN,34,27,34,0.02754,2.3,RFL+DGR,saved
101,54975497649,SIN,48,49,24,0.04704,13,RMD+VOL+DGR,saved
102,54975497650,SIN,49,49,55,0.12005,163,ICE+FRO+TEM+SCS,saved
103,54975497651,SIN,56,49,48,0.12348,1575,ICE+TEM+COL+SCS,saved
104,54975497652,SIN,70,38,36,0.0931,3,,saved
105,54975497653,SIN,157,65,75,0.71435,600,,saved
106,54975497654,SIN,142,124,102,1.7608,1943,,saved
107,54975497655,PEN,110,110,130,1.573,800,,saved
108,54975497656,PEN,60,80,30,0.1344,10,MNR,saved
109,54975497657,PEN,110,100,100,0.88,130,CRT,saved
110,54975497658,PEN,45,34,34,0.05202,5,CAO+RBI+DGR,saved
111,54975497659,PEN,120,80,120,1.12812,500,REG,saved
112,54975497660,PEN,109,105,62,0.698145,116,REG,saved
113,54975497661,ORD,51,51,51,0.132651,65,EAP+ECC,saved
114,54975497662,ORD,109,99,191,2.05029,441,EAP+ECC,saved
115,54975497663,ORD,121,101,100,1.1858,400,EAP+ECC,saved
116,54975497664,ORD,154,32,34,0.156519,21,EAP+ECC+MNR,saved
117,54975497665,ORD,120,80,80,0.73944,54.5,EAP+ECC+MNR,saved
118,54975497666,PEN,104,122,56,0.685152,355.5,EAP+ECC+PSC,saved
119,54975497667,PEN,40,39,39,0.05624,100,EAW+REG+ECC,saved
120,54975497668,SIN,230,150,228,7.69304,1416,SCS+SEN,saved
121,54975497669,SIN,120,80,92,0.864,282.5,CAO+RBI+DGR,saved
122,54975497670,ORD,45,34,34,0.0459,185.2,CAO+RBI+DGR,saved
123,54975497671,ORD,80,60,60,0.24,140,CAO+RBI+DGR,saved
124,54975497672,ORD,41,41,41,0.063878,34.068,RXG+CAO+DGR,saved
125,54975497673,ORD,26,28,36,0.02184,21.877,CAO+RBI+EAP+ECC+DGR,saved
126,54975497674,SIN,100,60,45,0.24,27,RCM+RPB+DGR+VOL,saved
127,54975497675,SIN,86,83,93,0.64242,158,REG+CBE+SPX+GEN,saved
128,54975497676,SIN,117,97,80,0.8424,123,RMD+ECC+EAP+DGR,saved
129,54975497677,PEN,60,60,52,0.18,192,RNG+EAP+ECC+DGR,saved
130,54975497678,PEN,34,27,34,0.02754,2.3,RFL+DGR,saved
131,54975497679,SIN,48,49,24,0.04704,13,RMD+VOL+DGR,saved
